max_depth,max_features,min_samples_split,n_estimators,Accuracy
5,sqrt,12,110,0.8678035597800765
5,sqrt,12,120,0.8705246482154505
5,sqrt,12,130,0.8705246482154505
5,sqrt,12,140,0.8705153294194389
5,sqrt,12,150,0.8664336967663779
5,sqrt,12,160,0.8705432858074736
5,sqrt,12,170,0.8678128785760879
5,sqrt,12,180,0.8664430155623893
5,sqrt,12,190,0.8664430155623893
5,sqrt,12,200,0.8678035597800765
5,sqrt,14,10,0.8569005684465566
5,sqrt,14,20,0.8637219271270153
5,sqrt,14,30,0.8637219271270153
5,sqrt,14,40,0.8623520641133166
5,sqrt,14,50,0.8691734227937751
5,sqrt,14,60,0.8691827415897866
5,sqrt,14,70,0.8650824713447023
5,sqrt,14,80,0.8637219271270153
5,sqrt,14,90,0.8637219271270153
5,sqrt,14,100,0.8623613829093282
5,sqrt,14,110,0.8678035597800765
5,sqrt,14,120,0.8678035597800765
5,sqrt,14,130,0.8664430155623893
5,sqrt,14,140,0.8664430155623893
5,sqrt,14,150,0.8678128785760879
5,sqrt,14,160,0.8664430155623893
5,sqrt,14,170,0.8664430155623893
5,sqrt,14,180,0.8650824713447023
5,sqrt,14,190,0.8650824713447023
5,sqrt,14,200,0.8664430155623893
5,log2,2,10,0.8623893392973627
5,log2,2,20,0.8637405647190383
5,log2,2,30,0.8637405647190383
5,log2,2,40,0.867831516168111
5,log2,2,50,0.8650917901407139
5,log2,2,60,0.8650917901407139
5,log2,2,70,0.8623707017053397
5,log2,2,80,0.8664430155623893
5,log2,2,90,0.8678035597800765
5,log2,2,100,0.8664430155623893
5,log2,2,110,0.8637219271270151
5,log2,2,120,0.8664430155623893
5,log2,2,130,0.8664430155623893
5,log2,2,140,0.8678035597800765
5,log2,2,150,0.8650824713447023
5,log2,2,160,0.8650824713447023
5,log2,2,170,0.8664523343584009
5,log2,2,180,0.8650824713447023
5,log2,2,190,0.8650824713447023
5,log2,2,200,0.8664523343584009
5,log2,4,10,0.8610194762836642
5,log2,4,20,0.8623800205013511
5,log2,4,30,0.8678128785760879
5,log2,4,40,0.8678221973720996
5,log2,4,50,0.8691641039977634
5,log2,4,60,0.8650824713447023
5,log2,4,70,0.8650824713447023
5,log2,4,80,0.8623520641133166
5,log2,4,90,0.8609915198956294
5,log2,4,100,0.8650824713447023
5,log2,4,110,0.8637126083310036
5,log2,4,120,0.8623520641133166
5,log2,4,130,0.8664336967663779
5,log2,4,140,0.8678035597800765
5,log2,4,150,0.8678035597800765
5,log2,4,160,0.8678128785760879
5,log2,4,170,0.8691734227937751
5,log2,4,180,0.8664430155623893
5,log2,4,190,0.8664430155623893
5,log2,4,200,0.8664430155623893
5,log2,6,10,0.8541887988071941
5,log2,6,20,0.8637498835150499
5,log2,6,30,0.8651011089367253
5,log2,6,40,0.8664616531544125
5,log2,6,50,0.8678035597800765
5,log2,6,60,0.8705339670114622
5,log2,6,70,0.8678128785760879
5,log2,6,80,0.8718945112291493
5,log2,6,90,0.8719038300251608
5,log2,6,100,0.8664430155623893
5,log2,6,110,0.8691641039977634
5,log2,6,120,0.8691641039977634
5,log2,6,130,0.8691641039977634
5,log2,6,140,0.8678035597800765
5,log2,6,150,0.8664336967663779
5,log2,6,160,0.8705432858074736
5,log2,6,170,0.8678128785760879
5,log2,6,180,0.8691734227937751
5,log2,6,190,0.8691734227937751
5,log2,6,200,0.8664430155623893
5,log2,8,10,0.8664523343584009
5,log2,8,20,0.866470971950424
5,log2,8,30,0.8664523343584009
5,log2,8,40,0.866470971950424
5,log2,8,50,0.8719038300251608
5,log2,8,60,0.8691827415897866
5,log2,8,70,0.8732736930388594
5,log2,8,80,0.8760041002702451
5,log2,8,90,0.8732736930388594
5,log2,8,100,0.8732736930388594
5,log2,8,110,0.8719038300251608
5,log2,8,120,0.8732643742428479
5,log2,8,130,0.8718945112291493
5,log2,8,140,0.8719038300251608
5,log2,8,150,0.8719038300251608
5,log2,8,160,0.8719038300251608
5,log2,8,170,0.8705432858074736
5,log2,8,180,0.8719038300251608
5,log2,8,190,0.8719131488211722
5,log2,8,200,0.8691827415897866
5,log2,10,10,0.869192060385798
5,log2,10,20,0.866470971950424
5,log2,10,30,0.866470971950424
5,log2,10,40,0.8691827415897866
5,log2,10,50,0.869192060385798
5,log2,10,60,0.8691827415897866
5,log2,10,70,0.8678221973720994
5,log2,10,80,0.8705526046034852
5,log2,10,90,0.8691827415897866
5,log2,10,100,0.8678035597800765
5,log2,10,110,0.8678128785760879
5,log2,10,120,0.8691734227937751
5,log2,10,130,0.8732550554468362
5,log2,10,140,0.8732550554468362
5,log2,10,150,0.8732643742428478
5,log2,10,160,0.8732643742428479
5,log2,10,170,0.8719038300251608
5,log2,10,180,0.8719038300251608
5,log2,10,190,0.8691734227937751
5,log2,10,200,0.8691734227937751
5,log2,12,10,0.8623707017053397
5,log2,12,20,0.8691827415897866
5,log2,12,30,0.8651011089367253
5,log2,12,40,0.8678128785760879
5,log2,12,50,0.8718945112291492
5,log2,12,60,0.8664430155623893
5,log2,12,70,0.8678128785760879
5,log2,12,80,0.8719038300251608
5,log2,12,90,0.8691641039977636
5,log2,12,100,0.8691641039977636
5,log2,12,110,0.8678035597800765
5,log2,12,120,0.8705246482154505
5,log2,12,130,0.8705246482154505
5,log2,12,140,0.8705153294194389
5,log2,12,150,0.8664336967663779
5,log2,12,160,0.8705432858074736
5,log2,12,170,0.8678128785760879
5,log2,12,180,0.8664430155623893
5,log2,12,190,0.8664430155623893
5,log2,12,200,0.8678035597800765
5,log2,14,10,0.8569005684465566
5,log2,14,20,0.8637219271270153
5,log2,14,30,0.8637219271270153
5,log2,14,40,0.8623520641133166
5,log2,14,50,0.8691734227937751
5,log2,14,60,0.8691827415897866
5,log2,14,70,0.8650824713447023
5,log2,14,80,0.8637219271270153
5,log2,14,90,0.8637219271270153
5,log2,14,100,0.8623613829093282
5,log2,14,110,0.8678035597800765
5,log2,14,120,0.8678035597800765
5,log2,14,130,0.8664430155623893
5,log2,14,140,0.8664430155623893
5,log2,14,150,0.8678128785760879
5,log2,14,160,0.8664430155623893
5,log2,14,170,0.8664430155623893
5,log2,14,180,0.8650824713447023
5,log2,14,190,0.8650824713447023
5,log2,14,200,0.8664430155623893
5,,2,10,0.8378436306029261
5,,2,20,0.8459975771130368
5,,2,30,0.843295126269686
5,,2,40,0.8392134936166247
5,,2,50,0.8432858074736744
5,,2,60,0.8460162147050602
5,,2,70,0.8528096169974839
5,,2,80,0.8500885285621098
5,,2,90,0.8541794800111825
5,,2,100,0.8500978473581213
5,,2,110,0.8514583915758085
5,,2,120,0.8500978473581213
5,,2,130,0.8500978473581213
5,,2,140,0.8541794800111825
5,,2,150,0.8541794800111825
5,,2,160,0.8514583915758085
5,,2,170,0.8500978473581213
5,,2,180,0.8500978473581213
5,,2,190,0.8500978473581213
5,,2,200,0.8500978473581213
5,,4,10,0.8364737675892275
5,,4,20,0.8473674401267356
5,,4,30,0.8433044450656976
5,,4,40,0.8392134936166247
5,,4,50,0.8419252632559873
5,,4,60,0.8460162147050602
5,,4,70,0.8528189357934954
5,,4,80,0.8528189357934954
5,,4,90,0.8541794800111825
5,,4,100,0.8514583915758085
5,,4,110,0.8528282545895071
5,,4,120,0.8555493430248811
5,,4,130,0.8514583915758085
5,,4,140,0.8528189357934954
5,,4,150,0.8528189357934954
5,,4,160,0.8528189357934954
5,,4,170,0.8514583915758085
5,,4,180,0.8514583915758085
5,,4,190,0.8500978473581213
5,,4,200,0.8500978473581213
5,,6,10,0.8392134936166247
5,,6,20,0.8487279843444228
5,,6,30,0.8446649892833846
5,,6,40,0.843295126269686
5,,6,50,0.844655670487373
5,,6,60,0.8473860777187587
5,,6,70,0.8487373031404342
5,,6,80,0.8514583915758085
5,,6,90,0.8514583915758085
5,,6,100,0.8514583915758085
5,,6,110,0.8528189357934954
5,,6,120,0.8528189357934954
5,,6,130,0.8528189357934954
5,,6,140,0.8528189357934954
5,,6,150,0.8500978473581213
5,,6,160,0.8514583915758085
5,,6,170,0.8514583915758085
5,,6,180,0.8514583915758085
5,,6,190,0.8514583915758085
5,,6,200,0.8500978473581213
5,,8,10,0.8324014537321778
5,,8,20,0.8473674401267356
5,,8,30,0.8446649892833846
5,,8,40,0.8433044450656976
5,,8,50,0.8432858074736744
5,,8,60,0.8473860777187585
5,,8,70,0.8487373031404342
5,,8,80,0.8514583915758085
5,,8,90,0.8528189357934954
5,,8,100,0.8514583915758085
5,,8,110,0.8528282545895071
5,,8,120,0.8541887988071941
5,,8,130,0.8500978473581213
5,,8,140,0.8514583915758085
5,,8,150,0.8487373031404342
5,,8,160,0.8487373031404342
5,,8,170,0.8500978473581213
5,,8,180,0.8500978473581213
5,,8,190,0.8500978473581213
5,,8,200,0.8500978473581213
5,,10,10,0.837862268194949
5,,10,20,0.8487279843444228
5,,10,30,0.8405740378343116
5,,10,40,0.8419345820519988
5,,10,50,0.8432858074736744
5,,10,60,0.8473860777187585
5,,10,70,0.8500978473581213
5,,10,80,0.8514583915758085
5,,10,90,0.8500978473581213
5,,10,100,0.8500978473581213
5,,10,110,0.8500978473581213
5,,10,120,0.8541887988071941
5,,10,130,0.8487373031404342
5,,10,140,0.8500978473581213
5,,10,150,0.8487373031404342
5,,10,160,0.8487373031404342
5,,10,170,0.8487373031404342
5,,10,180,0.8500978473581213
5,,10,190,0.8487373031404342
5,,10,200,0.8487373031404342
5,,12,10,0.8351411797595751
5,,12,20,0.8473767589227472
5,,12,30,0.8419439008480104
5,,12,40,0.837862268194949
5,,12,50,0.844655670487373
5,,12,60,0.8487466219364457
5,,12,70,0.8514583915758085
5,,12,80,0.8528189357934954
5,,12,90,0.8514583915758085
5,,12,100,0.8514677103718199
5,,12,110,0.8500978473581213
5,,12,120,0.8541887988071941
5,,12,130,0.8528282545895071
5,,12,140,0.8514583915758085
5,,12,150,0.8500978473581213
5,,12,160,0.8500978473581213
5,,12,170,0.8487373031404342
5,,12,180,0.8514583915758085
